
<0000> 「嗯……\n該怎麼辦呢。」
<0106> 「嗯？」
<0107> 「美羽咲的話，就算是能夠長大，\n大概也是不會有什麼色氣的吧。」
<0108> 「為什麼呀！」
<0109> 「比起那種事情，\n這遊戲也差不多快要結束了呢。」
<0110> 「真的嗎？那麼接下來的就趕緊完成吧。」
<0111> 「開始吧。」
<0112> 「這是……」
<0113> 「好奇怪呀。\n先不說那個奇怪的傢伙，這個白衣的女人，\n明明有那麼好的身材……」
<0114> 「身材可是從生下來就持有的才能呀。\n只要能將其完美地維持下來的話，\n無論身穿何種衣著，女子力都會非常高的。」
<0115> 「明明正因為是這種身材，\n就算是色氣氛圍縈繞也一點都不覺得奇怪的……\n明明是這樣的……！」
<0116> 「但那兩個人，卻一點GP都沒感覺到呀。」
<0117> 「那可真是……太可怕了。\n差不多已經接近到Girls of Death\n的地步了吧。」
<0118> 「G.O.D……！魔女之死……\n但是為什麼？」
<0119> 「我也不明白。\n但是，有一點是確定的。」
<0120> 「不可以變成那種樣子呀。」
<0121> 「嗯。」
<0122> 「蕾帕……我覺得有點害怕了。」
<0123> 「蕾帕也是呢。\n但是……」
<0124> 「……還要繼續嗎？」
<0125> 「雖然很可怕，\n但是接下來就是最後了……\n能陪蕾帕一起玩到最後嗎？」
<0126> 「既然蕾帕這麼努力的話，我也加油好了。」
<0127> 「美羽……謝謝你。」
<0128> 「於是最後的……\n嗚哇！！」
<0129> 「這是……明明還沒開始玩來著，\n竟然感覺到壯大的氛圍……\n女子力的風暴呀……！！」
<0130> 「嗚……\n從來沒有感覺到這樣的女子力呀……！\n到底有怎樣的女孩子在等待著我們呀！？」
<0131> 「可愛者……」
<0132> 「偶像……」
<0133> 「未經雕琢的，純粹的GP的集合體。」
<0134> 「嗯……太厲害了……無法用語言來表達。」
<0135> 「美羽咲，你在哭嗎？」
<0136> 「咦……啊，真的呢……\n大概是被感動了吧……但是蕾帕也是呀。」
<0137> 「太奇怪了，\n眼淚決堤而出了啦。」
<0138> 「啊哈哈。但是這種程度，\n跟和這麼多如此之棒的人相遇比起來\n不算什麼。」
<0139> 「嗯，不僅僅是可愛者。\n這遊戲裡面所有出現的女孩子，\n無論是什麼樣的女孩子，\n都深深地觸動了蕾帕的心。」
<0140> 「我也是呀。\n啊，不過呀，我想起來了。」
<0141> 「怎麼了？」
<0142> 「雖然這個遊戲裡所有出現的\n女孩子都非常可愛，不過，\n蕾帕也是非常可愛，一點都不輸給她們喲。」
<0143> 「太令人害羞了不要再說了啦……\n不過……蕾帕很高興。」
<0144> 「而且呀，那樣說的話美羽咲不也……\n稍微有那麼點可愛的樣子呢。」
<0145> 「謝謝！」
<0146> 「那麼，要走了。\n美羽咲也跟蕾帕一起來吧。」
<0147> 「啊，要把遊戲還給森之魔女嗎？」
<0148> 「沒錯，而且呀……」
<0149> 「嗯，好美味呀！\n森之魔女竟然會做布丁。」
<0150> 「就是這個衣服，\n太棒了，\n果然很適合美羽咲呢。」
<0151> 「也很適合蕾帕呀！好可愛！」
<0152> 「都是些吵鬧的傢伙呢，真是的。」
<0153> 「嗯，說起來還真是少見的組合呢。\n一起玩了嗎？這個。」
<0154> 「是呢，好厲害呀，已經沉迷了啦。\n下次森之魔女也一起來玩吧。」
<0155> 「也好呀。\n那麼再來多一人……叫上羅妮怎麼樣？」
<0156> 「好呀。大家一起來玩吧！」
